ID_PRODUTO,DATA_EVENTO,PRECO,QUANTIDADE_ESTOQUE
1,2023-12-31,11.07,100
2,2023-12-31,10.97,95
3,2023-12-31,11.4,78
4,2023-12-31,14.62,63
5,2023-12-31,11.55,52
6,2023-12-31,12.11,41
7,2023-12-31,11.11,29
8,2023-12-31,14.62,10
9,2023-12-31,13.31,100
10,2023-12-31,13.39,83
11,2023-12-31,13.64,76
12,2023-12-31,13.74,74
13,2023-12-31,10.09,73
14,2023-12-31,13.59,55
15,2023-12-31,12.74,53
16,2023-12-31,11.08,34
17,2023-12-31,14.26,19
18,2023-12-31,13.82,15
19,2023-12-31,14.89,14
20,2023-12-31,12.54,13
21,2023-12-31,13.5,100
22,2023-12-31,11.93,86
23,2023-12-31,13.22,83
24,2023-12-31,10.83,64
25,2023-12-31,13.08,46
1,2024-01-01,12.14,28
2,2024-01-01,12.0,12
3,2024-01-01,13.82,3
4,2024-01-01,11.27,2
5,2024-01-01,12.79,100
6,2024-01-01,12.21,86
7,2024-01-01,10.36,69
8,2024-01-01,14.15,61
9,2024-01-01,13.76,46
10,2024-01-01,13.15,31
11,2024-01-01,10.97,18
12,2024-01-01,12.59,8
13,2024-01-01,12.61,100
14,2024-01-01,14.02,84
15,2024-01-01,10.57,71
16,2024-01-01,12.91,54
17,2024-01-01,10.53,35
18,2024-01-01,14.13,27
19,2024-01-01,11.13,17
20,2024-01-01,11.0,100
21,2024-01-01,10.73,82
22,2024-01-01,11.62,73
23,2024-01-01,14.25,57
24,2024-01-01,12.03,53
25,2024-01-01,11.08,48
1,2024-01-02,10.99,38
2,2024-01-02,11.31,24
3,2024-01-02,10.26,12
4,2024-01-02,12.62,100
5,2024-01-02,13.59,99
6,2024-01-02,10.72,85
7,2024-01-02,10.62,77
8,2024-01-02,12.4,69
9,2024-01-02,10.46,57
10,2024-01-02,14.45,38
11,2024-01-02,10.68,27
12,2024-01-02,12.64,8
13,2024-01-02,11.08,100
14,2024-01-02,12.78,92
15,2024-01-02,13.2,89
16,2024-01-02,13.8,87
17,2024-01-02,11.39,74
18,2024-01-02,13.88,66
19,2024-01-02,11.81,47
20,2024-01-02,10.5,40
21,2024-01-02,12.87,22
22,2024-01-02,10.24,13
23,2024-01-02,14.54,9
24,2024-01-02,10.1,3
25,2024-01-02,12.38,100
1,2024-01-03,12.8,82
2,2024-01-03,10.79,81
3,2024-01-03,11.89,66
4,2024-01-03,11.32,62
5,2024-01-03,12.29,59
6,2024-01-03,12.01,45
7,2024-01-03,10.54,44
8,2024-01-03,13.87,25
9,2024-01-03,11.68,16
10,2024-01-03,11.82,100
11,2024-01-03,11.15,90
12,2024-01-03,12.36,89
13,2024-01-03,14.9,84
14,2024-01-03,10.99,73
15,2024-01-03,12.31,72
16,2024-01-03,12.81,58
17,2024-01-03,14.22,54
18,2024-01-03,11.93,43
19,2024-01-03,10.53,25
20,2024-01-03,14.39,18
21,2024-01-03,11.69,8
22,2024-01-03,11.16,100
23,2024-01-03,10.98,81
24,2024-01-03,10.94,77
25,2024-01-03,13.11,64
1,2024-01-04,11.43,55
2,2024-01-04,14.22,50
3,2024-01-04,14.75,41
4,2024-01-04,11.19,28
5,2024-01-04,11.47,15
6,2024-01-04,10.5,100
7,2024-01-04,13.97,93
8,2024-01-04,14.15,78
9,2024-01-04,11.1,74
10,2024-01-04,10.45,56
11,2024-01-04,13.99,45
12,2024-01-04,12.13,29
13,2024-01-04,12.27,11
14,2024-01-04,12.65,3
15,2024-01-04,13.29,100
16,2024-01-04,12.13,99
17,2024-01-04,12.39,89
18,2024-01-04,13.99,82
19,2024-01-04,10.38,64
20,2024-01-04,14.19,48
21,2024-01-04,10.93,33
22,2024-01-04,10.38,28
23,2024-01-04,14.33,27
24,2024-01-04,11.86,9
25,2024-01-04,13.11,100
1,2024-01-05,12.37,88
2,2024-01-05,10.59,78
3,2024-01-05,10.1,74
4,2024-01-05,14.71,66
5,2024-01-05,13.2,57
6,2024-01-05,14.76,51
7,2024-01-05,14.89,41
8,2024-01-05,14.44,28
9,2024-01-05,14.62,25
10,2024-01-05,10.59,13
11,2024-01-05,10.38,6
12,2024-01-05,12.83,3
13,2024-01-05,14.51,100
14,2024-01-05,11.69,91
15,2024-01-05,13.67,84
16,2024-01-05,11.63,72
17,2024-01-05,12.82,58
18,2024-01-05,11.27,41
19,2024-01-05,10.28,23
20,2024-01-05,10.67,14
21,2024-01-05,13.91,7
22,2024-01-05,13.75,100
23,2024-01-05,11.21,90
24,2024-01-05,14.13,78
25,2024-01-05,13.77,74
1,2024-01-06,11.51,69
2,2024-01-06,14.49,62
3,2024-01-06,14.69,52
4,2024-01-06,10.06,44
5,2024-01-06,13.21,38
6,2024-01-06,11.56,27
7,2024-01-06,12.82,24
8,2024-01-06,14.62,22
9,2024-01-06,12.5,7
10,2024-01-06,11.26,4
11,2024-01-06,13.13,100
12,2024-01-06,13.77,89
13,2024-01-06,14.17,73
14,2024-01-06,10.97,70
15,2024-01-06,12.65,64
16,2024-01-06,11.19,57
17,2024-01-06,13.43,40
18,2024-01-06,14.74,24
19,2024-01-06,10.77,18
20,2024-01-06,14.35,11
21,2024-01-06,11.6,100
22,2024-01-06,10.17,89
23,2024-01-06,14.56,77
24,2024-01-06,12.98,71
25,2024-01-06,11.97,60
1,2024-01-07,10.87,52
2,2024-01-07,10.74,44
3,2024-01-07,12.4,26
4,2024-01-07,13.92,11
5,2024-01-07,11.55,100
6,2024-01-07,11.34,96
7,2024-01-07,14.3,93
8,2024-01-07,13.57,88
9,2024-01-07,14.23,86
10,2024-01-07,11.39,76
11,2024-01-07,13.27,65
12,2024-01-07,10.25,64
13,2024-01-07,14.71,55
14,2024-01-07,13.48,47
15,2024-01-07,11.93,43
16,2024-01-07,10.38,26
17,2024-01-07,14.09,15
18,2024-01-07,12.59,2
19,2024-01-07,13.34,100
20,2024-01-07,13.88,81
21,2024-01-07,11.51,68
22,2024-01-07,14.46,62
23,2024-01-07,12.94,45
24,2024-01-07,12.71,28
25,2024-01-07,11.79,23
1,2024-01-08,10.81,13
2,2024-01-08,13.16,100
3,2024-01-08,12.32,94
4,2024-01-08,14.8,77
5,2024-01-08,10.38,66
6,2024-01-08,14.12,49
7,2024-01-08,11.16,41
8,2024-01-08,13.67,34
9,2024-01-08,11.76,32
10,2024-01-08,13.1,17
11,2024-01-08,12.5,11
12,2024-01-08,14.06,4
13,2024-01-08,14.45,100
14,2024-01-08,13.53,96
15,2024-01-08,13.72,95
16,2024-01-08,13.53,84
17,2024-01-08,10.69,81
18,2024-01-08,13.08,72
19,2024-01-08,10.35,55
20,2024-01-08,10.02,47
21,2024-01-08,11.9,46
22,2024-01-08,11.72,42
23,2024-01-08,11.35,28
24,2024-01-08,14.44,16
25,2024-01-08,10.67,12
1,2024-01-09,14.72,11
2,2024-01-09,12.23,100
3,2024-01-09,12.62,96
4,2024-01-09,11.97,80
5,2024-01-09,13.62,71
6,2024-01-09,14.8,52
7,2024-01-09,11.41,33
8,2024-01-09,10.93,19
9,2024-01-09,14.64,11
10,2024-01-09,12.26,100
11,2024-01-09,14.83,82
12,2024-01-09,14.2,79
13,2024-01-09,12.21,78
14,2024-01-09,11.59,75
15,2024-01-09,10.16,59
16,2024-01-09,14.37,53
17,2024-01-09,11.94,36
18,2024-01-09,11.77,22
19,2024-01-09,13.34,18
20,2024-01-09,12.4,16
21,2024-01-09,14.97,3
22,2024-01-09,13.66,100
23,2024-01-09,12.77,86
24,2024-01-09,11.08,83
25,2024-01-09,10.61,65
1,2024-01-10,10.36,50
2,2024-01-10,14.14,38
3,2024-01-10,14.11,34
4,2024-01-10,14.11,23
5,2024-01-10,10.81,13
6,2024-01-10,12.36,100
7,2024-01-10,12.08,91
8,2024-01-10,11.64,85
9,2024-01-10,11.81,78
10,2024-01-10,11.56,62
11,2024-01-10,13.3,60
12,2024-01-10,11.8,55
13,2024-01-10,13.27,50
14,2024-01-10,13.89,42
15,2024-01-10,12.27,37
16,2024-01-10,11.26,32
17,2024-01-10,12.37,30
18,2024-01-10,11.2,26
19,2024-01-10,11.29,23
20,2024-01-10,14.03,17
21,2024-01-10,14.93,6
22,2024-01-10,14.41,100
23,2024-01-10,10.57,95
24,2024-01-10,13.7,93
25,2024-01-10,13.21,88
1,2024-01-11,10.2,78
2,2024-01-11,14.69,71
3,2024-01-11,12.04,67
4,2024-01-11,13.69,65
5,2024-01-11,14.61,60
6,2024-01-11,12.96,57
7,2024-01-11,10.83,39
8,2024-01-11,11.65,38
9,2024-01-11,14.24,35
10,2024-01-11,14.81,17
11,2024-01-11,10.9,15
12,2024-01-11,10.33,13
13,2024-01-11,14.64,8
14,2024-01-11,10.46,2
15,2024-01-11,14.22,100
16,2024-01-11,10.84,86
17,2024-01-11,13.33,73
18,2024-01-11,14.41,70
19,2024-01-11,10.21,56
20,2024-01-11,13.59,45
21,2024-01-11,11.41,30
22,2024-01-11,14.03,28
23,2024-01-11,13.39,14
24,2024-01-11,13.39,100
25,2024-01-11,14.13,83
1,2024-01-12,13.0,67
2,2024-01-12,12.94,52
3,2024-01-12,13.31,51
4,2024-01-12,13.86,37
5,2024-01-12,13.95,18
6,2024-01-12,12.3,11
7,2024-01-12,10.78,100
8,2024-01-12,13.34,88
9,2024-01-12,14.21,86
10,2024-01-12,11.49,68
11,2024-01-12,12.52,62
12,2024-01-12,11.16,50
13,2024-01-12,10.31,36
14,2024-01-12,11.97,27
15,2024-01-12,11.42,19
16,2024-01-12,11.38,13
17,2024-01-12,12.22,100
18,2024-01-12,13.22,82
19,2024-01-12,12.07,78
20,2024-01-12,11.65,72
21,2024-01-12,14.57,60
22,2024-01-12,10.25,53
23,2024-01-12,13.39,38
24,2024-01-12,14.51,36
25,2024-01-12,13.61,18
1,2024-01-13,13.37,10
2,2024-01-13,13.35,9
3,2024-01-13,12.83,100
4,2024-01-13,11.78,89
5,2024-01-13,10.4,77
6,2024-01-13,11.55,62
7,2024-01-13,11.82,50
8,2024-01-13,10.99,48
9,2024-01-13,10.52,43
10,2024-01-13,14.16,24
11,2024-01-13,10.18,16
12,2024-01-13,13.4,2
13,2024-01-13,13.32,100
14,2024-01-13,11.0,90
15,2024-01-13,14.9,78
16,2024-01-13,14.31,61
17,2024-01-13,11.78,52
18,2024-01-13,13.37,35
19,2024-01-13,14.55,27
20,2024-01-13,12.21,24
21,2024-01-13,10.51,7
22,2024-01-13,12.51,3
23,2024-01-13,12.62,100
24,2024-01-13,12.21,84
25,2024-01-13,11.95,75
1,2024-01-14,13.75,71
2,2024-01-14,14.13,56
3,2024-01-14,10.49,55
4,2024-01-14,14.52,52
5,2024-01-14,11.05,51
6,2024-01-14,12.9,46
7,2024-01-14,11.96,33
8,2024-01-14,11.46,27
9,2024-01-14,10.14,15
10,2024-01-14,10.53,100
11,2024-01-14,11.26,83
12,2024-01-14,13.15,81
13,2024-01-14,13.58,77
14,2024-01-14,10.35,75
15,2024-01-14,14.26,72
16,2024-01-14,14.9,62
17,2024-01-14,14.4,43
18,2024-01-14,13.55,37
19,2024-01-14,12.91,22
20,2024-01-14,13.45,9
21,2024-01-14,13.17,100
22,2024-01-14,14.8,95
23,2024-01-14,11.66,94
24,2024-01-14,10.78,80
25,2024-01-14,10.73,70
1,2024-01-15,10.34,63
2,2024-01-15,13.26,49
3,2024-01-15,13.19,33
4,2024-01-15,13.91,28
5,2024-01-15,12.53,19
6,2024-01-15,12.09,2
7,2024-01-15,11.14,100
8,2024-01-15,11.14,88
9,2024-01-15,10.03,79
10,2024-01-15,14.52,67
11,2024-01-15,13.8,62
12,2024-01-15,14.67,52
13,2024-01-15,13.01,34
14,2024-01-15,13.41,33
15,2024-01-15,12.15,14
16,2024-01-15,12.78,2
17,2024-01-15,12.17,100
18,2024-01-15,12.97,81
19,2024-01-15,10.59,75
20,2024-01-15,14.14,65
21,2024-01-15,14.55,48
22,2024-01-15,12.9,39
23,2024-01-15,10.51,31
24,2024-01-15,11.65,22
25,2024-01-15,12.3,6
1,2024-01-16,14.58,5
2,2024-01-16,10.47,3
3,2024-01-16,13.41,100
4,2024-01-16,10.92,82
5,2024-01-16,13.72,73
6,2024-01-16,10.04,56
7,2024-01-16,10.65,41
8,2024-01-16,14.12,28
9,2024-01-16,11.08,24
10,2024-01-16,10.95,5
11,2024-01-16,13.3,100
12,2024-01-16,10.13,92
13,2024-01-16,12.36,73
14,2024-01-16,12.75,70
15,2024-01-16,12.98,60
16,2024-01-16,11.19,52
17,2024-01-16,13.45,35
18,2024-01-16,14.7,20
19,2024-01-16,11.77,1
20,2024-01-16,11.7,100
21,2024-01-16,10.97,85
22,2024-01-16,13.22,83
23,2024-01-16,10.21,69
24,2024-01-16,11.09,58
25,2024-01-16,11.96,44
1,2024-01-17,11.58,35
2,2024-01-17,10.07,33
3,2024-01-17,13.97,15
4,2024-01-17,14.23,8
5,2024-01-17,11.67,100
6,2024-01-17,11.79,93
7,2024-01-17,14.17,78
8,2024-01-17,12.05,61
9,2024-01-17,13.33,49
10,2024-01-17,14.82,37
11,2024-01-17,13.71,18
12,2024-01-17,12.71,15
13,2024-01-17,13.34,9
14,2024-01-17,12.05,100
15,2024-01-17,10.38,92
16,2024-01-17,14.67,81
17,2024-01-17,13.73,76
18,2024-01-17,13.19,60
19,2024-01-17,10.99,46
20,2024-01-17,10.73,28
21,2024-01-17,10.24,16
22,2024-01-17,14.03,8
23,2024-01-17,10.42,100
24,2024-01-17,12.52,82
25,2024-01-17,12.01,76
1,2024-01-18,11.77,63
2,2024-01-18,10.98,55
3,2024-01-18,14.07,46
4,2024-01-18,11.85,45
5,2024-01-18,10.02,38
6,2024-01-18,13.42,36
7,2024-01-18,12.27,30
8,2024-01-18,11.44,19
9,2024-01-18,12.88,10
10,2024-01-18,14.16,100
11,2024-01-18,11.24,81
12,2024-01-18,13.55,63
13,2024-01-18,11.67,54
14,2024-01-18,13.27,37
15,2024-01-18,12.56,32
16,2024-01-18,14.01,26
17,2024-01-18,14.52,16
18,2024-01-18,11.1,10
19,2024-01-18,14.29,100
20,2024-01-18,13.98,83
21,2024-01-18,10.05,73
22,2024-01-18,13.39,61
23,2024-01-18,12.64,60
24,2024-01-18,14.62,51
25,2024-01-18,10.99,49
1,2024-01-19,14.37,45
2,2024-01-19,11.59,26
3,2024-01-19,14.51,22
4,2024-01-19,13.52,14
5,2024-01-19,11.04,13
6,2024-01-19,13.79,8
7,2024-01-19,14.45,100
8,2024-01-19,11.26,87
9,2024-01-19,12.5,78
10,2024-01-19,12.99,61
11,2024-01-19,10.32,53
12,2024-01-19,10.39,50
13,2024-01-19,14.32,40
14,2024-01-19,14.41,37
15,2024-01-19,13.8,30
16,2024-01-19,10.07,23
17,2024-01-19,12.88,17
18,2024-01-19,11.53,15
19,2024-01-19,10.52,100
20,2024-01-19,10.68,99
21,2024-01-19,13.88,83
22,2024-01-19,13.13,82
23,2024-01-19,14.3,68
