ID_PRODUTO,DATA_EVENTO,PRECO,QUANTIDADE_ESTOQUE
24,2024-01-19,13.54,49
25,2024-01-19,12.0,33
1,2024-01-20,12.25,28
2,2024-01-20,11.88,11
3,2024-01-20,11.19,100
4,2024-01-20,14.08,96
5,2024-01-20,14.88,78
6,2024-01-20,13.67,70
7,2024-01-20,13.61,63
8,2024-01-20,11.0,52
9,2024-01-20,11.67,43
10,2024-01-20,10.03,37
11,2024-01-20,13.31,23
12,2024-01-20,13.43,18
13,2024-01-20,11.57,12
14,2024-01-20,11.28,100
15,2024-01-20,14.66,89
16,2024-01-20,10.74,79
17,2024-01-20,10.38,68
18,2024-01-20,13.05,61
19,2024-01-20,13.52,45
20,2024-01-20,11.25,27
21,2024-01-20,14.17,10
22,2024-01-20,12.49,4
23,2024-01-20,10.12,100
24,2024-01-20,10.34,95
25,2024-01-20,10.84,81
1,2024-01-21,11.3,69
2,2024-01-21,14.7,55
3,2024-01-21,13.77,51
4,2024-01-21,13.89,41
5,2024-01-21,10.64,35
6,2024-01-21,14.57,31
7,2024-01-21,13.0,13
8,2024-01-21,11.18,100
9,2024-01-21,12.27,85
10,2024-01-21,14.42,84
11,2024-01-21,14.25,65
12,2024-01-21,13.71,50
13,2024-01-21,14.5,41
14,2024-01-21,14.48,29
15,2024-01-21,13.33,15
16,2024-01-21,14.81,100
17,2024-01-21,14.96,94
18,2024-01-21,12.58,75
19,2024-01-21,10.13,69
20,2024-01-21,10.6,51
21,2024-01-21,14.63,39
22,2024-01-21,10.55,30
23,2024-01-21,10.32,19
24,2024-01-21,13.1,6
25,2024-01-21,12.66,100
1,2024-01-22,10.97,95
2,2024-01-22,10.28,92
3,2024-01-22,11.48,80
4,2024-01-22,10.04,64
5,2024-01-22,14.99,54
6,2024-01-22,10.56,49
7,2024-01-22,13.01,32
8,2024-01-22,12.12,20
9,2024-01-22,13.69,3
10,2024-01-22,10.97,100
11,2024-01-22,10.54,97
12,2024-01-22,13.63,96
13,2024-01-22,10.42,89
14,2024-01-22,11.34,75
15,2024-01-22,12.27,69
16,2024-01-22,10.07,64
17,2024-01-22,11.06,58
18,2024-01-22,13.57,45
19,2024-01-22,11.02,38
20,2024-01-22,13.96,22
21,2024-01-22,10.52,18
22,2024-01-22,11.48,11
23,2024-01-22,13.05,4
24,2024-01-22,11.67,100
25,2024-01-22,13.64,89
1,2024-01-23,13.82,78
2,2024-01-23,10.26,68
3,2024-01-23,11.42,56
4,2024-01-23,11.99,54
5,2024-01-23,10.24,51
6,2024-01-23,10.06,35
7,2024-01-23,10.35,18
8,2024-01-23,13.83,3
9,2024-01-23,10.57,100
10,2024-01-23,11.16,81
11,2024-01-23,10.12,79
12,2024-01-23,12.95,62
13,2024-01-23,14.58,58
14,2024-01-23,12.14,46
15,2024-01-23,11.5,40
16,2024-01-23,10.02,33
17,2024-01-23,13.88,31
18,2024-01-23,11.02,12
19,2024-01-23,13.19,100
20,2024-01-23,13.25,93
21,2024-01-23,13.96,77
22,2024-01-23,14.12,68
23,2024-01-23,11.18,60
24,2024-01-23,13.75,54
25,2024-01-23,10.12,43
1,2024-01-24,10.93,30
2,2024-01-24,11.03,25
3,2024-01-24,13.68,11
4,2024-01-24,10.89,100
5,2024-01-24,10.59,91
6,2024-01-24,12.6,81
7,2024-01-24,13.9,67
8,2024-01-24,10.73,50
9,2024-01-24,10.97,41
10,2024-01-24,12.46,26
11,2024-01-24,13.73,9
12,2024-01-24,14.85,100
13,2024-01-24,12.05,82
14,2024-01-24,11.94,68
15,2024-01-24,11.91,57
16,2024-01-24,12.75,43
17,2024-01-24,10.61,36
18,2024-01-24,14.43,22
19,2024-01-24,11.21,15
20,2024-01-24,14.87,10
21,2024-01-24,14.11,100
22,2024-01-24,10.34,82
23,2024-01-24,10.65,63
24,2024-01-24,12.54,49
25,2024-01-24,13.43,34
1,2024-01-25,14.62,32
2,2024-01-25,10.24,15
3,2024-01-25,11.67,8
4,2024-01-25,10.62,100
5,2024-01-25,13.02,83
6,2024-01-25,10.36,66
7,2024-01-25,10.64,47
8,2024-01-25,10.74,34
9,2024-01-25,12.49,17
10,2024-01-25,10.17,9
11,2024-01-25,13.6,100
12,2024-01-25,13.83,85
13,2024-01-25,12.91,84
14,2024-01-25,10.78,82
15,2024-01-25,10.74,81
16,2024-01-25,10.42,79
17,2024-01-25,10.49,75
18,2024-01-25,13.57,65
19,2024-01-25,12.66,62
20,2024-01-25,12.47,53
21,2024-01-25,14.0,43
22,2024-01-25,12.83,28
23,2024-01-25,12.87,26
24,2024-01-25,12.2,13
25,2024-01-25,11.77,100
1,2024-01-26,10.49,93
2,2024-01-26,14.22,89
3,2024-01-26,13.67,73
4,2024-01-26,11.07,57
5,2024-01-26,12.01,49
6,2024-01-26,11.82,44
7,2024-01-26,10.68,30
8,2024-01-26,10.13,27
9,2024-01-26,13.96,11
10,2024-01-26,12.57,6
11,2024-01-26,13.65,100
12,2024-01-26,14.74,87
13,2024-01-26,12.6,85
14,2024-01-26,12.35,74
15,2024-01-26,12.4,67
16,2024-01-26,12.38,53
17,2024-01-26,11.76,51
18,2024-01-26,10.31,38
19,2024-01-26,11.34,19
20,2024-01-26,14.69,8
21,2024-01-26,10.75,2
22,2024-01-26,12.29,100
23,2024-01-26,14.98,98
24,2024-01-26,10.98,96
25,2024-01-26,10.25,85
1,2024-01-27,10.91,73
2,2024-01-27,12.41,64
3,2024-01-27,10.39,58
4,2024-01-27,12.87,50
5,2024-01-27,10.88,35
6,2024-01-27,11.21,16
7,2024-01-27,12.81,6
8,2024-01-27,12.19,2
9,2024-01-27,14.65,100
10,2024-01-27,14.48,87
11,2024-01-27,10.36,85
12,2024-01-27,10.93,67
13,2024-01-27,10.37,55
14,2024-01-27,13.93,38
15,2024-01-27,13.03,26
16,2024-01-27,11.91,17
17,2024-01-27,13.66,100
18,2024-01-27,11.98,89
19,2024-01-27,14.08,83
20,2024-01-27,11.22,73
21,2024-01-27,11.87,67
22,2024-01-27,10.38,65
23,2024-01-27,14.23,56
24,2024-01-27,13.62,43
25,2024-01-27,14.58,36
1,2024-01-28,11.13,24
2,2024-01-28,11.37,10
3,2024-01-28,11.09,5
4,2024-01-28,14.29,100
5,2024-01-28,10.53,99
6,2024-01-28,10.41,90
7,2024-01-28,10.8,87
8,2024-01-28,13.99,69
9,2024-01-28,14.1,66
10,2024-01-28,11.76,57
11,2024-01-28,12.9,55
12,2024-01-28,11.62,41
13,2024-01-28,12.18,31
14,2024-01-28,13.19,22
15,2024-01-28,13.65,4
16,2024-01-28,12.07,100
17,2024-01-28,14.27,98
18,2024-01-28,10.94,83
19,2024-01-28,12.41,65
20,2024-01-28,12.56,58
21,2024-01-28,13.38,54
22,2024-01-28,11.79,44
23,2024-01-28,11.74,42
24,2024-01-28,13.11,32
25,2024-01-28,14.02,25
1,2024-01-29,12.68,19
2,2024-01-29,10.5,1
3,2024-01-29,11.5,100
4,2024-01-29,14.9,98
5,2024-01-29,11.0,93
6,2024-01-29,12.91,88
7,2024-01-29,11.76,78
8,2024-01-29,11.95,69
9,2024-01-29,13.74,65
10,2024-01-29,10.09,46
11,2024-01-29,13.5,28
12,2024-01-29,11.67,27
13,2024-01-29,11.7,17
14,2024-01-29,11.66,2
15,2024-01-29,10.42,100
16,2024-01-29,14.45,86
17,2024-01-29,13.83,67
18,2024-01-29,14.08,58
19,2024-01-29,14.45,53
20,2024-01-29,13.98,51
21,2024-01-29,14.69,39
22,2024-01-29,11.43,25
23,2024-01-29,13.36,19
24,2024-01-29,12.0,15
25,2024-01-29,12.45,10
1,2024-01-30,10.75,9
2,2024-01-30,10.56,100
3,2024-01-30,14.03,87
4,2024-01-30,12.01,82
5,2024-01-30,11.23,69
6,2024-01-30,10.63,58
7,2024-01-30,10.01,50
8,2024-01-30,11.57,32
9,2024-01-30,12.07,28
10,2024-01-30,13.16,15
11,2024-01-30,10.06,11
12,2024-01-30,14.38,4
13,2024-01-30,11.16,3
14,2024-01-30,12.76,100
15,2024-01-30,10.1,90
16,2024-01-30,10.82,81
17,2024-01-30,12.11,66
18,2024-01-30,13.13,65
19,2024-01-30,13.46,50
20,2024-01-30,11.8,49
21,2024-01-30,12.01,36
22,2024-01-30,14.9,32
23,2024-01-30,14.81,22
24,2024-01-30,14.9,13
25,2024-01-30,11.71,7
1,2024-01-31,13.76,100
2,2024-01-31,14.18,81
3,2024-01-31,13.55,78
4,2024-01-31,11.0,71
5,2024-01-31,10.69,70
6,2024-01-31,13.17,56
7,2024-01-31,11.16,37
8,2024-01-31,12.12,23
9,2024-01-31,12.78,6
10,2024-01-31,13.23,100
11,2024-01-31,11.35,90
12,2024-01-31,11.43,87
13,2024-01-31,10.8,72
14,2024-01-31,11.49,61
15,2024-01-31,12.87,43
16,2024-01-31,14.1,24
17,2024-01-31,14.81,12
18,2024-01-31,13.73,100
19,2024-01-31,14.26,99
20,2024-01-31,10.86,88
21,2024-01-31,11.9,69
22,2024-01-31,13.24,65
23,2024-01-31,12.78,64
24,2024-01-31,14.93,52
25,2024-01-31,11.11,34
1,2024-02-01,12.0,23
2,2024-02-01,13.59,10
3,2024-02-01,12.29,100
4,2024-02-01,12.07,93
5,2024-02-01,11.35,87
6,2024-02-01,12.46,82
7,2024-02-01,13.98,80
8,2024-02-01,12.65,71
9,2024-02-01,12.89,66
10,2024-02-01,14.61,47
11,2024-02-01,13.58,40
12,2024-02-01,12.94,23
13,2024-02-01,13.01,14
14,2024-02-01,12.1,100
15,2024-02-01,13.21,96
16,2024-02-01,13.04,87
17,2024-02-01,13.46,68
18,2024-02-01,10.54,66
19,2024-02-01,12.26,55
20,2024-02-01,10.23,42
21,2024-02-01,10.98,28
22,2024-02-01,13.2,23
23,2024-02-01,13.74,16
24,2024-02-01,11.7,5
25,2024-02-01,13.6,100
1,2024-02-02,13.6,89
2,2024-02-02,14.42,85
3,2024-02-02,13.28,79
4,2024-02-02,11.83,60
5,2024-02-02,12.07,55
6,2024-02-02,10.88,45
7,2024-02-02,14.49,35
8,2024-02-02,12.99,19
9,2024-02-02,14.81,12
10,2024-02-02,10.17,100
11,2024-02-02,10.73,90
12,2024-02-02,10.57,71
13,2024-02-02,13.89,69
14,2024-02-02,13.29,67
15,2024-02-02,10.39,52
16,2024-02-02,12.39,49
17,2024-02-02,10.23,40
18,2024-02-02,13.02,22
19,2024-02-02,10.25,21
20,2024-02-02,12.6,14
21,2024-02-02,12.97,13
22,2024-02-02,10.08,4
23,2024-02-02,14.08,100
24,2024-02-02,10.58,82
25,2024-02-02,10.63,68
1,2024-02-03,11.83,50
2,2024-02-03,12.85,38
3,2024-02-03,11.83,32
4,2024-02-03,10.77,15
5,2024-02-03,11.02,100
6,2024-02-03,10.76,91
7,2024-02-03,13.48,83
8,2024-02-03,10.25,74
9,2024-02-03,12.11,70
10,2024-02-03,10.65,68
11,2024-02-03,10.8,49
12,2024-02-03,13.79,45
13,2024-02-03,13.33,38
14,2024-02-03,11.83,20
15,2024-02-03,14.98,11
16,2024-02-03,10.32,100
17,2024-02-03,10.36,96
18,2024-02-03,11.03,79
19,2024-02-03,13.22,71
20,2024-02-03,13.13,69
21,2024-02-03,11.1,65
22,2024-02-03,11.35,61
23,2024-02-03,10.42,59
24,2024-02-03,12.72,52
25,2024-02-03,13.69,35
1,2024-02-04,10.55,32
2,2024-02-04,13.09,22
3,2024-02-04,14.0,19
4,2024-02-04,14.8,7
5,2024-02-04,12.12,1
6,2024-02-04,10.96,100
7,2024-02-04,13.09,90
8,2024-02-04,14.77,87
9,2024-02-04,14.96,84
10,2024-02-04,10.65,80
11,2024-02-04,14.31,66
12,2024-02-04,10.53,47
13,2024-02-04,14.44,43
14,2024-02-04,12.38,41
15,2024-02-04,10.08,38
16,2024-02-04,12.5,27
17,2024-02-04,13.27,8
18,2024-02-04,10.55,100
19,2024-02-04,10.22,86
20,2024-02-04,13.34,84
21,2024-02-04,11.88,75
22,2024-02-04,10.03,59
23,2024-02-04,14.8,50
24,2024-02-04,13.22,48
25,2024-02-04,11.02,35
1,2024-02-05,12.51,27
2,2024-02-05,12.45,25
3,2024-02-05,10.77,19
4,2024-02-05,11.48,5
5,2024-02-05,14.45,100
6,2024-02-05,10.46,81
7,2024-02-05,11.85,74
8,2024-02-05,11.97,60
9,2024-02-05,13.08,54
10,2024-02-05,12.12,52
11,2024-02-05,11.17,38
12,2024-02-05,13.74,21
13,2024-02-05,12.64,12
14,2024-02-05,13.58,100
15,2024-02-05,14.54,98
16,2024-02-05,10.17,90
17,2024-02-05,12.0,73
18,2024-02-05,12.16,61
19,2024-02-05,12.25,51
20,2024-02-05,14.67,33
21,2024-02-05,10.63,31
22,2024-02-05,14.2,18
23,2024-02-05,10.29,11
24,2024-02-05,14.86,7
25,2024-02-05,11.66,100
1,2024-02-06,12.9,87
2,2024-02-06,12.25,80
3,2024-02-06,12.9,66
4,2024-02-06,13.16,55
5,2024-02-06,13.04,44
6,2024-02-06,12.75,25
7,2024-02-06,12.96,22
8,2024-02-06,13.53,10
9,2024-02-06,13.37,8
10,2024-02-06,13.03,100
11,2024-02-06,10.05,84
12,2024-02-06,14.34,70
13,2024-02-06,12.8,62
14,2024-02-06,12.63,50
15,2024-02-06,11.77,47
16,2024-02-06,14.53,30
17,2024-02-06,13.71,12
18,2024-02-06,12.93,1
19,2024-02-06,11.23,100
20,2024-02-06,12.6,87
21,2024-02-06,13.01,68
22,2024-02-06,12.67,63
23,2024-02-06,14.29,52
24,2024-02-06,12.68,35
25,2024-02-06,13.72,28
1,2024-02-07,13.33,15
2,2024-02-07,14.51,7
3,2024-02-07,14.93,100
4,2024-02-07,11.13,90
5,2024-02-07,12.21,75
6,2024-02-07,10.33,72
7,2024-02-07,12.2,57
8,2024-02-07,13.89,54
9,2024-02-07,12.99,45
10,2024-02-07,13.18,28
11,2024-02-07,13.48,19
12,2024-02-07,12.01,13
13,2024-02-07,11.52,12
14,2024-02-07,12.75,3
15,2024-02-07,13.0,100
16,2024-02-07,13.44,94
17,2024-02-07,13.57,92
18,2024-02-07,11.08,89
19,2024-02-07,10.32,87
20,2024-02-07,11.06,73
21,2024-02-07,10.78,71
22,2024-02-07,10.39,66
23,2024-02-07,14.42,51
24,2024-02-07,14.88,49
25,2024-02-07,10.04,43
1,2024-02-08,10.28,39
2,2024-02-08,13.57,32
3,2024-02-08,11.9,23
4,2024-02-08,12.99,8
5,2024-02-08,11.12,100
6,2024-02-08,10.63,99
7,2024-02-08,11.21,95
8,2024-02-08,10.14,81
9,2024-02-08,11.74,74
10,2024-02-08,10.22,70
11,2024-02-08,12.67,61
12,2024-02-08,14.86,51
13,2024-02-08,11.71,45
14,2024-02-08,12.74,30
15,2024-02-08,13.48,28
16,2024-02-08,14.15,27
17,2024-02-08,14.27,26
18,2024-02-08,14.3,18
19,2024-02-08,13.0,9
20,2024-02-08,13.11,100
21,2024-02-08,13.47,89
22,2024-02-08,14.13,83
23,2024-02-08,15.0,71
24,2024-02-08,14.98,69
25,2024-02-08,12.29,50
